year,cpiu_growth,gdp_price_growth,interest_rate_fed_debt,nominal_gdp_growth,real_gdp_growth,nominal_gdp_billions,real_gdp_billions_chained,gdp_price_index,cpi_u_index
2026,0.02924,0.026760000000000003,0.03443,0.051089999999999997,0.023639999999999998,32274.2,24393.8,132.20000000000002,331.8
2027,0.025470000000000003,0.023629999999999998,0.03451,0.04267000000000001,0.01861,33651.5,24847.7,135.4,340.2
2028,0.023610000000000003,0.02168,0.03581,0.040119999999999996,0.01805,35001.9,25296.3,138.3,348.20000000000005
2029,0.022879999999999998,0.02062,0.036699999999999997,0.03853,0.01754,36350.700000000004,25740.2,141.2,356.2
2030,0.022629999999999997,0.02009,0.03758,0.03828,0.01783,37742.5,26199.4,144.0,364.29999999999995
2031,0.02258,0.01983,0.03844,0.03794,0.01776,39174.799999999996,26664.7,146.9,372.5
2032,0.02257,0.01972,0.03928,0.03766,0.0176,40650.399999999994,27134.0,149.8,380.90000000000003
2033,0.022559999999999997,0.01973,0.03972,0.037759999999999995,0.017669999999999998,42185.4,27613.7,152.7,389.5
2034,0.022559999999999997,0.01967,0.03996,0.03771,0.017689999999999997,43776.6,28102.2,155.7,398.3
2035,0.02257,0.019710000000000002,0.040069999999999995,0.03778,0.01772,45430.9,28600.4,158.8,407.30000000000007
2036,0.02257,0.01975,0.04038,0.037759999999999995,0.01766,47146.700000000004,29105.5,161.9,416.5
2037,0.02258,0.01983,0.04046,0.03768,0.0175,48923.5,29614.899999999998,165.1,425.90000000000003
2038,0.02258,0.01993,0.04057,0.03773,0.01744,50769.6,30131.699999999997,168.4,435.50000000000006
2039,0.02259,0.01998,0.040650000000000006,0.03764,0.0173,52680.700000000004,30653.199999999997,171.8,445.4
2040,0.0226,0.02001,0.04074,0.03783,0.01746,54673.9,31188.600000000002,175.2,455.40000000000003
2041,0.0226,0.020030000000000003,0.04089,0.03772,0.01734,56736.600000000006,31729.600000000002,178.8,465.7
2042,0.02261,0.020019999999999996,0.041100000000000005,0.03749,0.01712,58863.9,32273.000000000004,182.29999999999998,476.3
2043,0.02262,0.020019999999999996,0.04125,0.03741,0.01704,61066.1,32823.1,186.0,487.0
2044,0.022629999999999997,0.020019999999999996,0.041319999999999996,0.03727,0.01691,63342.0,33378.2,189.7,498.09999999999997
2045,0.022639999999999997,0.02,0.04138,0.036789999999999996,0.01646,65672.79999999999,33927.700000000004,193.5,509.3
2046,0.02265,0.01999,0.04149,0.03641,0.0161,68064.5,34474.1,197.4,520.9
2047,0.02265,0.01999,0.04154,0.03622,0.01591,70530.2,35022.799999999996,201.29999999999998,532.7
2048,0.02266,0.01999,0.04156,0.03605,0.01574,73073.2,35574.1,205.39999999999998,544.8000000000001
2049,0.02267,0.02,0.04156,0.03588,0.015560000000000001,75695.0,36127.8,209.50000000000003,557.1
2050,0.02267,0.02,0.041580000000000006,0.03563,0.01532,78392.6,36681.399999999994,213.7,569.7
2051,0.02268,0.02001,0.04162,0.03545,0.01514,81172.2,37236.8,217.89999999999998,582.7
2052,0.022690000000000002,0.020019999999999996,0.04167,0.03532,0.015,84040.0,37795.5,222.29999999999998,595.9
2053,0.022690000000000002,0.02004,0.04168,0.03526,0.01492,87003.7,38359.6,226.79999999999998,609.4
2054,0.0227,0.02005,0.04169,0.03521,0.01485,90067.2,38929.6,231.3,623.3
2055,0.0227,0.02007,0.041710000000000004,0.0352,0.014830000000000001,93237.79999999999,39507.0,235.9,637.4
2056,0.022709999999999998,0.02007,0.04176,0.03522,0.014839999999999999,96521.6,40093.5,240.7,651.9
